Year,Country,Foreign Direct Investment billion USD,Predicted FDI billion USD,FDI Potential in %,FDI Potential in billion USD,Average FDI Potential in billion USD (Last 5 Years),Average FDI Potential in % (Last 5 Years),Population size in millions,Gross Domestic Product billions of U.S. dollars,Value added in the agricultural sector as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Tax rate percent of commercial profits,Political stability index (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Rank
2021,Zimbabwe,0.17,0.97474056,5.733768028371474,0.8047405648231506,0.6578235077857971,4.1055695871914235,15.99,28.37,8.85,12.44,56.64,31.6,-1.03,-1.37,79.0
2021,Sierra Leone,0.21,0.93107164,4.433674471718924,0.7210716390609742,0.6550716390609741,3.728841091282276,8.42,4.04,57.45,2.17,32.33,30.7,-0.16,-0.96,80.0
2021,Moldova,0.39,0.93107164,2.3873631770794206,0.5410716390609741,0.6310716390609741,3.889985541054677,2.62,13.68,10.39,9.38,54.85,38.7,-0.21,0.01,81.0
2021,Brunei,0.2,1.1162068,5.581033825874329,0.9162067651748658,0.6062373151779175,2.835404748439914,0.45,14.01,1.26,18.51,37.63,8.0,1.17,0.99,82.0
2021,Czechia,7.61,11.400736,1.4981256051383098,3.7907358551025387,0.6047516479492184,1.1018463797803528,10.51,281.78,1.85,21.08,58.75,46.1,0.96,1.35,83.0
2021,Equatorial Guinea,0.49,1.0062587,2.053589236979582,0.5162587261199951,0.5722587261199952,2.411632735707898,1.63,12.27,2.63,22.75,46.26,79.4,-0.29,-1.71,84.0
2021,Fiji,0.41,0.93107164,2.270906436734083,0.5210716390609742,0.5650716390609741,2.6856674271993763,0.92,4.3,14.52,11.61,53.78,32.1,0.67,-0.0,85.0
2021,Bosnia and Herzegovina,0.64,1.0524535,1.6444586217403412,0.41245351791381835,0.5350565900802613,2.066575585595379,3.27,23.37,5.16,14.44,54.89,23.7,-0.38,-0.18,86.0
2021,Maldives,0.44,1.7489902,3.9749776775186714,1.3089901781082154,0.5291603794097901,2.1489988592578584,0.52,5.41,5.27,1.94,73.25,30.2,0.5,-0.52,87.0
2021,Montenegro,0.69,1.0524535,1.5252949534982876,0.3624535179138184,0.5144535179138184,2.008828724326667,0.62,5.86,6.46,3.85,59.86,22.2,-0.15,0.43,88.0
2021,Madagascar,0.36,0.93107164,2.586310108502706,0.5710716390609741,0.47907163906097416,2.1408078868433646,28.92,14.47,24.69,9.72,50.39,38.3,-0.64,-0.82,89.0
2021,North Macedonia,0.7,0.93107164,1.3301023415156774,0.23107163906097417,0.4760476751327515,20.008751136107467,2.07,13.83,7.25,12.66,56.85,13.0,0.12,0.42,90.0
2021,Estonia,7.36,3.636817,0.49413274163785187,-3.7231830215454105,0.4700922966003417,1.6756460442644727,1.33,37.19,2.02,12.72,62.54,47.8,0.76,1.56,91.0
2021,New Zealand,4.54,8.360601,1.841542164134559,3.8206014251708984,0.46289184796810157,0.884398532936466,5.12,249.89,5.65,9.83,65.57,34.6,1.44,1.81,92.0
2021,Kenya,0.46,1.1666583,2.5362136571303657,0.7066582822799683,0.4552407064437866,1.9971658546512678,53.01,110.35,22.43,7.24,54.41,37.2,-1.09,-0.45,93.0
2021,Mauritania,1.07,0.93107164,0.8701604103373589,-0.13892836093902594,0.43804767513275145,0.7245642009411347,4.61,10.0,18.58,5.28,40.39,67.0,-0.67,-1.06,94.0
2021,Niger,0.59,0.93107164,1.5780875238321597,0.34107163906097415,0.4350716390609741,2.035400434237631,25.25,14.92,36.48,7.64,37.05,47.2,-1.62,-0.75,95.0
2021,Chad,0.56,0.93107164,1.6626279268945965,0.37107163906097407,0.42907163906097406,1.9138187517511358,17.18,11.78,53.99,3.19,35.66,63.5,-1.34,-1.15,96.0
2021,Slovenia,2.15,2.0520535,0.954443465831668,-0.09794654846191397,0.40926949024200443,1.6971776098167002,2.11,61.75,1.69,20.03,57.71,31.0,0.76,0.83,97.0
2021,Kazakhstan,4.58,3.6286128,0.7922735276701148,-0.9513872432708741,0.4089088649749756,3.7546727772480155,19.0,197.11,5.03,13.61,53.92,28.4,-0.25,0.09,98.0
2021,El Salvador,0.83,0.9887705,1.1912897408726704,0.15877048492431645,0.40662441301345825,1.8854642674005482,6.31,28.74,4.92,15.18,59.87,36.4,-0.21,-0.34,99.0
2021,Sudan,0.52,1.0089102,1.9402118829580453,0.4889101791381836,0.3804298224449158,1.4872621155051582,45.66,34.33,6.36,5.13,9.69,45.4,-1.94,-1.47,100.0
2021,Jamaica,0.32,0.93107164,2.909598872065544,0.6110716390609741,0.34707163906097416,2.000600673747287,2.83,14.66,8.34,8.2,58.22,35.1,0.22,0.2,101.0
2021,Mali,0.64,0.93107164,1.454799436032772,0.2910716390609741,0.31707163906097413,1.5810558060123028,21.9,19.14,35.69,6.72,35.39,54.5,-2.35,-0.62,102.0
2021,Tunisia,0.53,1.081278,2.0401471066025065,0.5512779664993286,0.3035890855789184,1.4859779741743808,12.26,46.69,10.14,14.42,60.14,60.7,-0.7,-0.39,103.0
2021,Greece,6.13,4.6219015,0.7539806708231641,-1.5080984878540038,0.1962110233306885,1.0940222274743663,10.64,214.87,3.87,8.65,68.15,51.9,0.15,0.44,104.0
2021,Sri Lanka,0.6,1.1449505,1.9082508484522502,0.5449505090713501,0.1949505090713501,1.5330073103432684,22.16,88.93,8.7,17.89,55.11,55.2,-0.32,-0.37,105.0
2021,Ecuador,0.65,1.1209046,1.7244685613192043,0.4709045648574829,0.1914454736709595,1.318296928340215,17.8,106.17,9.41,16.79,53.41,34.4,-0.27,-0.7,106.0
2021,Portugal,7.85,9.044697,1.1521906761606788,1.1946968078613285,0.18718043518066416,1.1497284497573061,10.33,253.66,2.19,12.43,64.75,39.8,0.95,0.74,107.0
